Price,Brand,Model,Edition,Year,Condition,Transmission,Body,Fuel,Capacity,Mileage
"10,475,000",Toyota,Allion,Toyota,2013,Used,Automatic,Saloon,Petrol,"1,500 cc","19,100 km"
"10,390,000",Toyota,Hilux,Dual Purpose Cab,2007,Used,Manual,SUV / 4x4,Diesel,"3,000 cc","135,890 km"
"3,690,000",Suzuki,Swift,Center,2004,Used,Automatic,Hatchback,Petrol,"1,500 cc","95,000 km"
"5,595,000",Toyota,Prius,W30,2011,Used,Automatic,Saloon,Hybrid,"1,800 cc","198,952 km"
"2,730,000",Suzuki,Alto,800,2015,Used,Manual,Saloon,Petrol,800 cc,"30,227 km"
"6,250,000",Toyota,Crown,Majesta Luxury,2008,Used,Tiptronic,Saloon,Petrol,"3,900 cc","107,500 km"
"2,495,000",Micro,Panda,12000KMs,2015,Used,Manual,Hatchback,Petrol,"1,000 cc","12,800 km"
"9,750,000",Peugeot,508,Premium Plus,2012,Used,Tiptronic,Saloon,Petrol,"1,600 cc","100,500 km"
"490,000",Toyota,Corolla,Blue,1981,Used,Manual,Saloon,Petrol,"1,200 cc","300,000 km"
"8,650,000",Ford,Ranger,Automatic,2012,Used,Tiptronic,SUV / 4x4,Diesel,"2,500 cc","124,600 km"
"5,850,000",Nissan,X-Trail,T30 2004,2004,Used,Automatic,SUV / 4x4,Petrol,"2,500 cc","230,000 km"
"8,450,000",Toyota,Mark,X G Grade,2008,Used,Tiptronic,Saloon,Petrol,"2,500 cc","127,500 km"
"590,000",Mitsubishi,Lancer,wagon GL,1983,Used,Manual,Station wagon,Petrol,"1,400 cc","185,326 km"
"4,850,000",Honda,Civic,Honda,2003,Used,Automatic,Saloon,Petrol,"1,500 cc","211,000 km"
"8,150,000",Toyota,Tank,GS Custom,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","16,500 km"
"5,300,000",Suzuki,Spacia,Trim,2016,Used,Automatic,Hatchback,Petrol,650 cc,"40,000 km"
"6,350,000",Toyota,Corolla,Toyota 141( 1.6Auto),2007,Used,Automatic,Saloon,Petrol,"1,600 cc","86,000 km"
"10,700,000",Toyota,Premio,G Superior - 2011,2011,Used,Automatic,Saloon,Petrol,"1,490 cc","168,000 km"
"5,300,000",Honda,Fit,Honda Fit Gp1,2010,Used,Automatic,Hatchback,Hybrid,"1,330 cc","110,000 km"
"28,000,000",Mitsubishi,Montero,V98,2015,Used,Automatic,SUV / 4x4,Diesel,"3,200 cc","73,000 km"
"280,000",Nissan,Dutsun,b210,1979,Used,Manual,Station wagon,Petrol,"1,200 cc","45,000 km"
"11,950,000",Honda,Vezel,Sensing,2016,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc","65,000 km"
"10,550,000",Toyota,Axio,WXB Anniveary,2017,Used,Automatic,Saloon,Hybrid,"1,500 cc","69,000 km"
"6,150,000",Suzuki,Alto,japan,2016,Used,Automatic,Hatchback,Petrol,650 cc,"25,000 km"
"27,300,000",Mercedes Benz,C200,2018 AMG Primum plus,2018,Used,Automatic,Saloon,Petrol,"1,500 cc","11,000 km"
"7,950,000",Toyota,Prius,S Touring,2013,Used,Automatic,Saloon,Hybrid,"1,800 cc","145,000 km"
"705,000",Nissan,Sunny,B11,1983,Used,Manual,Saloon,Petrol,"1,300 cc","224,000 km"
"2,775,000",Renault,KWID,SPORTS RXT Exchange,2017,Used,Manual,Hatchback,Petrol,800 cc,"69,000 km"
"600,000",Aston Martin,Other Model,No edition,1988,Used,Manual,Hatchback,Diesel,240 cc,"193,200 km"
"4,790,000",Mitsubishi,eK Wagon,EK Wagon 2017,2016,Used,Automatic,Hatchback,Petrol,650 cc,"41,532 km"
"4,750,000",Suzuki,Wagon R Stingray,J Style,2014,Used,Automatic,Hatchback,Hybrid,650 cc,"66,300 km"
"3,250,000",Chevrolet,Cruze,Cruze,2002,Used,Automatic,Hatchback,Petrol,"1,300 cc","160,000 km"
"6,390,000",Toyota,Vitz,KSP130,2015,Used,Automatic,Hatchback,Petrol,990 cc,"57,000 km"
"3,625,000",Nissan,Sunny,Fb15 Auto Exchange,2002,Used,Automatic,Saloon,Petrol,"1,500 cc","139,000 km"
"7,800,000",Honda,Vezel,Vezel,2014,Used,Automatic,SUV / 4x4,Hybrid,"1,490 cc","83,000 km"
"1,650,000",Nissan,Sunny,FB14 (Doctor Sunny),1993,Used,Manual,Saloon,Diesel,"1,800 cc","240,000 km"
"21,900,000",Mercedes Benz,C160,COMPANY BRAND NEW,2017,Used,Automatic,Saloon,Petrol,"1,600 cc","43,000 km"
"10,550,000",Toyota,Premio,G Superior,2011,Used,Automatic,Saloon,Petrol,"1,500 cc","34,000 km"
"11,675,000",Toyota,CHR,Gt,2017,Used,Automatic,Hatchback,Petrol,"1,200 cc","31,000 km"
"1,250,000",Other brand,Other model,Bajaj Qute,2019,Used,Manual,Hatchback,Petrol,215 cc,"9,100 km"
"25,800,000",BMW,X2,M SPORT,2019,Used,Tiptronic,Hatchback,Petrol,"1,500 cc","13,000 km"
"57,500,000",Toyota,Land Cruiser Prado,TX,2020,New,Tiptronic,MPV,Petrol,"2,700 cc",0 km
"6,275,000",Toyota,Allion,G,2005,Used,Automatic,Saloon,Petrol,"1,500 cc","110,000 km"
"6,000,000",Suzuki,Wagon R FX,2018,2018,New,Automatic,Station wagon,Petrol,660 cc,0 km
"17,400,000",Audi,A3,SUNROOF,2018,Used,Tiptronic,Saloon,Petrol,"1,000 cc","23,000 km"
"36,000,000",Land Rover,Discovery,4,2015,Used,Automatic,SUV / 4x4,Diesel,"3,000 cc","120,000 km"
"19,500,000",Honda,CRV,Honda,2018,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc","40,000 km"
"1,790,000",Nissan,Sunny,FB 13,1991,Used,Manual,Saloon,Petrol,"1,500 cc","180,000 km"
"4,575,000",Suzuki,Wagon R FZ,safety,2014,Used,Automatic,Hatchback,Hybrid,650 cc,"42,000 km"
"3,500,000",Nissan,Sunny,FB 15 Super Saloon,2000,Used,Automatic,Saloon,Petrol,"1,500 cc","125,000 km"
"6,445,000",Mitsubishi,Mirage,Mirage GP5,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","29,000 km"
"16,500,000",Mitsubishi,Eclipse Cross,Highest spec,2018,Used,Tiptronic,MPV,Petrol,"1,500 cc","17,000 km"
"57,500,000",Toyota,Land Cruiser Prado,TXL,2020,New,Tiptronic,MPV,Petrol,"2,700 cc",0 km
"8,050,000",Hyundai,Tucson,SUV,2012,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc","79,500 km"
"21,800,000",Mercedes Benz,C200,HEAD UP DISPLAY,2015,Used,Automatic,Saloon,Petrol,"2,000 cc","35,000 km"
"3,950,000",BMW,Other Model,518i,1993,Used,Manual,Saloon,Petrol,"1,800 cc","140,000 km"
"15,000,000",Honda,Civic,Ex Sedan Tech 2018,2018,Used,Automatic,Saloon,Petrol,"1,000 cc","8,000 km"
"13,600,000",Honda,Civic,5R Vtech,2017,Used,Tiptronic,Hatchback,Petrol,"1,000 cc","46,000 km"
"8,250,000",Toyota,Vitz,Safety Edition 2,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","25,000 km"
"11,850,000",Mitsubishi,Outlander,Phev Rockford,2013,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc","895,603 km"
"14,450,000",Mitsubishi,Montero,Montero sport,2012,Used,Automatic,SUV / 4x4,Diesel,"2,500 cc","96,500 km"
"3,375,000",Toyota,Vitz,-,2000,Used,Automatic,Hatchback,Petrol,"1,000 cc","116,000 km"
"4,975,000",Suzuki,Wagon R Stingray,J Style,2014,Used,Automatic,Hatchback,Petrol,650 cc,"45,000 km"
"9,750,000",Toyota,Harrier,E Four,2008,Used,Tiptronic,SUV / 4x4,Hybrid,"3,300 cc","139,000 km"
"5,575,000",Toyota,Vios,G-Limited,2007,Used,Automatic,Saloon,Petrol,"1,500 cc","105,500 km"
"4,650,000",Suzuki,Wagon R,FX Hybrid,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"55,000 km"
"5,850,000",Toyota,Aqua,S Grade,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc","77,000 km"
"2,475,000",Nissan,Leaf,AZEO,2013,Used,Automatic,Saloon,Electric,70 cc,"80,000 km"
"30,000,000",Toyota,Land Cruiser Prado,Land Cruiser Prado,2014,Used,Tiptronic,SUV / 4x4,Diesel,"2,990 cc","355,000 km"
"11,650,000",Toyota,Premio,G Superior,2013,Used,Automatic,Saloon,Petrol,"1,300 cc","110,000 km"
"7,825,000",BMW,320i,PETROL 2011 REG,2007,Used,Automatic,Saloon,Petrol,"2,000 cc","115,680 km"
"5,275,000",Toyota,Yaris,1.3 AUTO FULL OPT,2008,Used,Automatic,Saloon,Petrol,"1,300 cc","125,000 km"
"2,180,000",Nissan,Sunny,Motor car,1996,Used,Manual,Saloon,Petrol,"1,490 cc","190,000 km"
"13,500,000",Honda,Vezel,Sensing LED,2018,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc","33,000 km"
"19,300,000",Honda,CRV,Masterpiece,2018,Used,Tiptronic,SUV / 4x4,Petrol,"1,500 cc","38,000 km"
"2,790,000",Suzuki,Alto,Alto Car,2015,Used,Manual,Hatchback,Petrol,800 cc,"82,000 km"
"14,200,000",Toyota,Axio,WXB Safety,2018,Used,Automatic,Saloon,Petrol,"1,500 cc","33,000 km"
"11,850,000",Audi,A4,29K MILES 1ST OWNER,2011,Used,Automatic,Saloon,Petrol,"1,800 cc","29,000 km"
"6,950,000",Suzuki,Vitara,ESCUDO,2008,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc","117,000 km"
"12,325,000",Toyota,Premio,G Superior,2015,Used,Automatic,Saloon,Petrol,"1,500 cc","63,200 km"
"18,500,000",Toyota,Premio,G Superior,2018,Used,Automatic,Saloon,Petrol,"1,500 cc","22,000 km"
